Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliff,Cut/Rough,Karat,Abmessung,Anmerkung,Versand, Preis,Anzahl,Summe  Karat,Preis/Karat,,,,,,,,,
Tansanit,Tansania,,IF ,,transparent,Trilliant,Cut,"1,69","7,85X7,83X4,79","24,15","14,29",Ebay,50,"25,85",,1,,,,,,,,"36,23"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,7","8,94x6,98x3,37","33,71","19,83",'–,'–,,,1,,,,,,,,"50,57"
Tansanit,Tansania,,VVS,,transparent,Oval,Cut,"1,76", 8.86 x 6.82 x 4.0,"33,1","18,81",,,,,1,,,,,,,,"49,65"
Tansanit,Tansania,,VVS,Grün-gelb,transparent,Kissen,Cut,"1,78","6,7x7,2x4,45","73,73","41,42",Ebay,140,"66,27",,1,,,,,,,,"110,6"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,81","8,02x6,08x5,02","15,23","8,41",Ebay,"19,99","4,76",,1,,,,,,,,"22,85"
Tansanit,Tansania,,IF ,,transparent,Trilliant,Cut,"1,81","9,18X7,06X4,09","17,53","9,69",Ebay,"30,5","12,97",,1,,,,,,,,"26,3"
Tansanit,Tansania,,VVS,Grün-blau,transparent,oval,Cut,"1,93",8.97x6.98x4.08,"24,26","12,57",,,,,1,,,,,,,,"36,39"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,97", 9.03 x 6.98 x 4.42,"39,19","19,89",,,,,1,,,,,,,,"58,79"
Tansanit,Tansania,,VS,Grün ,transparent,oval,Cut,"2,02","9,32x6,56x5,06","25,87","12,81",,,,,1,,,,,,,,"38,81"
Tansanit,Tansania,,IF ,Grün ,transparent,Trilliant,Cut,"2,11","8,76x8,58x4,53","61,31","29,06",'–,'–,,,1,,,,,,,,"91,97"
Tansanit,Tansania,2,VVS,Violett-blau,transparent,oval,Cut,"2,13","7,43x5,53x3,59","39,72","18,65",'–,'–,,,1,,,,,,,,"59,58"
Tansanit,Tansania,,VVS,Orange-gelb,transparent,oval,Cut,"2,2","9,9x7","233,49","106,13",,,,,1,,,,,,,,"350,24"
