Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliffart,Cut/Rough,Karat,Länge_mm,Breite_mm,Höhe_mm,Preis,Kategorie,Entstehung,Mine,Schliffform,Schliffqualität,Reinheitsgrad,Farbsättigung,Farbsättigung_1_10,Helligkeit,Farbgrad,Symmetrie,Politur,Kristallqualität,Kristallform,Geschätzte_Karat_Ausbeute,Geeignet_für,Behandelt,Behandlungsart,Behandlungsbeschreibung,Zertifiziert,Zertifizierungs_Labor,Zertifikatsnummer,Zertifikats_URL,Rarität,Verfügbar,Anzahl,SKU,Währung,Kurzbeschreibung,Langbeschreibung,Bilder,Videos,Neu,Featured,Verkauft
Spinell,Burma,,VVS,rot,transpartent,Kissen,Cut,"1,34","7,6x5,5x3,4",,,139,Spinell,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Spinell,Sri Lanka,,vs,blau,transparent,Fancy,Cut,"2,08","7x6,5x5,8",,,399,Spinell,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Spinell,Sri Lanka,,VVS,Violett,transparent,Trilliant,Cut,"2,38","9,3x9x4,6",,,199,Spinell,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Sternsaphir,Thailand,,I,Schwarz,Opaque,Cabochon,Cut,"9,72","12,5x10,6x6,2",,,199,Sternsaphir,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Tansanit,Tansania,,IF ,Grün ,transparent,Trilliant,Cut,"2,1","8,76x8,58x4,53",,,499,Tansanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Tansanit,Tansania,,VVS,Violett,transparent,Tropfen,Cut,"3,18","12,5x8,5x4,7",,,299,Tansanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Tansanit,Tansania,,IF ,Violett,transparent,Oval,Cut,"3,34","10,13x7,84x5,97",,,349,Tansanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Tansanit,Tansania,,VVS,Gelb,transparent,oval,Cut,"4,3","8,8x9,95x6,55",,,799,Tansanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Tansanit,Tansania,,VVS,Violett-blau,transparent,oval,Cut,"6,1",13,10,7,900,Tansanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Tansanit,Tansania,,IF ,Violett-blau,transparent,Kissen,Cut,"7,1","11x10,5x8",,,1400,Tansanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Turmalin,Mozambique, ,VVS,grün,transparent,Kissen,Cut,"2,62","8,7x7,6x5,8",,,190,Turmalin,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Turmalin,Mozambique,Rubellit,VS,rot,transparent,Kissen,Cut,"3,18","10x8,2x4,5",,,100,Turmalin,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Turmalin,Nigeria,,VVS,blau,transparent,Smaragd,Cut,5,"18,5x5,7x4,6",,,292,Turmalin,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zirkon,Sri Lanka,,SI,Grün ,transparent,Kissen,Cut,"2,84","8,86x7,86x4,35",,,169,Zirkon,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zirkon,Kambodscha,,VVS,blau,transparent,Oval,Cut,"3,68","9,32x7,26x4,94",,,209,Zirkon,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zirkon,Kambodscha,,VVS,blau,transparent,Smaragd,Cut,"5,18","11,25x5,8x5,4",,,299,Zirkon,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zirkon,Tansania,,vvs,gelb,transparent,Kissen,Cut,"5,98","11x8,7x5,5",,,259,Zirkon,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zirkon,Kambodscha,,VVS,blau,transparent,Tropfen,Cut,"7,16","12,3x9x7,5",,,369,Zirkon,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zirkon,Tansania,,VVS,rot,transparent,Trilliant,Cut,"7,4","10,7x10,7x5,4",,,369,Zirkon,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zirkon,Sri Lanka,,si,Grün ,transparent,Fancy,Cut,"8,08","11,5x11,3x8",,,399,Zirkon,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Fancy,Cut,"2,68",11,7,,149,Zultanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Kissen,Cut,"3,62","12,77x5,93x4,86",,,222,Zultanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,rechteckig,Cut,"4,72",12,8,6,299,Zultanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Kissen,Cut,"5,44","15,82x7,86x4,69",,,379,Zultanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Oktagon,Cut,"6,98","15,70x6,50x5,80",,,849,Zultanit,natürlich,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,,,true,,
